,Id,Sentiment,Instagram Comment Text,clean_text
56,57,negative," <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",komen via nyinyir melulu aduh kayak nyinyir orang parah orang sok mah media sosial hak instagram instagram nyinyir pakai ig si 
57,58,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",pikir manusia bodoh eh tante oma empo otak picik banget iya manusi larang dunia orang larang ngungkapin unek stupid human 
58,59,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,nya katai orang sindir netijen goblog banyak masyako 
59,60,negative," <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",didik orang tua nagita bagus heran balajaer nagita ya rugi junjunganny benci bodoh banget asli 
60,61,negative," <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",kampung loh pakai kerudung mulut cuihh 
61,62,negative,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????,belajaer tuh iya hahahaha bela artis begitu manusah begoh 
62,63,negative," <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat mbak liaaat coba telaah deh kasih contoh artis better eh jawab iya cocok 
63,64,negative," <USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh",sok high class mbak lihat komenmu artis beda mbak suka curhat ig curhat teman curhat tuhan mulut situ maju otak mikirnya curh 
64,65,negative," <USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",bodoh netizen kontra postingan sih via bakajaer kali mbak mas ih bodoh piara tertawa 
65,66,negative,Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan,sih artis artis indonesia nya urus prestasi sosmed nya melulu isi nya jatuh nya kampung 
66,67,negative," <USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",ya mbak kayak agnes harga nya kampung beda 
67,68,negative,Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!,munafik banget bicara curhat sosmed kampung kitu keleusss wkkwkww mbak via artis cantik nyanyi kampung wkwkwkwkw 
68,69,negative, <USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,wawan zzzzz artis teman dikit dikit att hahaha curhat sosmed kampung 
69,70,negative,Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,lemes iya mulut berani ststus tulis sengaja biar baca takut kali labrak mmmm artis kampung sih iya wajar iya 
70,71,negative, <USERNAME> main main lah ke jawa timur.. Biar ga begok!!,main main jawa timur biar bego 
71,72,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,nya katai orang sindir netijen goblog banyak masyako 
72,73,negative," <USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",nunjukin karya situ karya karya nyinyir hidup via tolol 
73,74,negative," <USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",bilang fansnya via aduh tantang orang anak tolol anak norak jarang belai 
74,75,negative, <USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda,yutub iya mbak aplikasi iya tau youtube mbak iya seseorg hasil salah satu youtube loh bayar nonton video sekolah deh mbak biar pintar generasi muda 
75,76,negative,"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali..",suka gangerti deh ya via vallen bikin status apa sangkut pautin att melulu att nya fansnya sih bikin jelek orang sangkut pautin melulu gerah kali 
76,77,negative,Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...,jujur iya orang bagus operasi plastik foto operasi plastik dioplas muka aneh kayak gagal oplasnya 
77,78,negative,Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??,noraaak abiiis kebel emas az pamer aplg main berlian ciiinnnnn 
78,79,negative,Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..,before and after pasca operasi plastik ngefek iya jelek seram muka ahahahhaha 
79,80,negative,"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!",salah fokus muka sumpah jelek operasi plastik model failed 
80,81,negative,Norak bener. Kegaet penjahat baru rasa.,norak gaet jahat 
81,82,negative,"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku",najis philipine banget kali bangga usak moral bangga najis banget lihat cakep komen nya pengin ngetop nitezerrre wkwkwk harap laku 
82,83,negative,Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras,bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras 
83,84,negative,"Bukankah Jedun yg ga becus jadi perempuan terhormat, ga becus jadi perempuan cerdas, ga becus jadi perempuan yg mencari suami sah bukan suami orang, ga becus jadi perempuan yg menghindari narkoba, ga becus jadi perempuan yg menjaga nama baik keluarga... semoga hanya ada satu perempuan yg kayak kamu di dunia ini ya Jedun",jedun becus perempuan hormat becus perempuan cerdas becus perempuan cari suami sah suami orang becus perempuan hindar narkotika psikotropika obat larang becus perempuan jaga nama keluarga moga perempuan kayak dunia iya jedun 
84,85,negative,"cewe yg bgni yg hrsnya gosong jd abu aja di kebakaran pabrik yg lg viral kmrn tu. bnr2 slain ga brguna, gda otak.. cm modal ngangkang trs gebet laki org trs bangga.. btw klo emg instastory nya buat nyindir sesebini tua mah. ehhh at least biar ga becus jd prewi tp becus cuii jd emak. buktinya anak nya bejibun trs smua pro ke emaknya drpd bapaknya",cewek gosong abu bakar pabrik viral kemarin slain brguna otak modal ngangkang gebet laki orang bangga ngomong-ngomong instastory nya sindir bin tua mah eh at least biar becus prewi becus cuii emak bukti anak nya profesional emaknya bapak 
85,86,negative,"Hahaha..kasian ya...gak becus jadi perem...harus ngerebut laki orang dulu biar dikata ""perempuan""? Dasar perempuan tak sadar diri ente cuy.",hahaha kasihan iya becus rem rebut laki orang biar kata perempuan dasar perempuan sadar ente cuy 
86,87,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,dasar artis abal abal enggk laku layar kaca enggk duit uang miskin main dukun elmu pelet rebut suami orang kayak 
87,88,negative,"ih dia kan paling becus makrum, paling becus ngrebut suami orang hehe????",ih becus makrum becus rebut suami orang he 
88,89,negative,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte,eeee sih lacur situ becus brempuan becus sampah sih iya edeuuuuuh lonte lonte 
89,90,negative,"Biarin,,,puas puasin mumpung deseu masih brasa muda. Ntar klo dah tua juga nyaho! Karma itu ada.",biar puas puasin selagi deseu asa muda deh tua nyaho karma 
90,91,negative,Dia ini punya anak perempuan lho. Ibu macam apa contohin jelek ke anaknya. Jauh dari kata BECUS ini perempuan. Amit amit...,anak perempuan lho contohin jelek anak becus perempuan amit amit 
91,92,negative,Kaya becus aja jd permpuan dia yng g becus jd perempuan ko sukanya sm laki orng heheh,kayak becus permpuan becus perempuan suka laki orang heheh 
92,93,negative,Yg gk becus tuh loh jedun...hidup nya cuma bisanya ngerusak kbhgiaan org lain .mau hidup serba mewah tp g mau krja mlh morotin laki org..karma psti akn mnghampirimu????????,becus tuh loh jedun hidup nya bisa ngerusak kbhgiaan orang hidup serba mewah krja morotin laki orang karma mnghampirimu 
93,94,negative,Gue gak suka sm ni orang. Idupnya kebanyakan ribut.,suka orang hidup banyak ribut 
94,95,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,dasar artis abal abal enggk laku layar kaca enggk duit uang miskin main dukun elmu pelet rebut suami orang kayak 
95,96,negative,"Yg nama ny plagiat ya plagiat, walaupun laku tp tetep ajah ciptaan dri hasil plagiat..wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah",nama nya plagiat iya plagiat laku cipta hasil plagiat wkwkwkwk mah dwngerin pengin muntah 
96,97,negative,"Dasar plagiat semuanya, ga bisa kreatip.memalukab bgt",dasar plagiat kreatip memalukab banget 
97,98,negative,"Dan dengan begonya dia bilang ""apanya yang sama yaaa liriknya aja tentang percintaan gitu kok lagu saya"" bener2 tolol si ayu. Gapunya kuping apa y orang yg dipermasalahin nadanya ????????",bego bilang apa ya lirik cinta lagu tolol sih ayu kuping ya orang dipermasalahin nada 
98,99,negative,Itu pacarnya anggel pietrs kali.... dan cowok itu juga masih bocah....  <USERNAME> yaelah jes.. terxta kelakuan mu sama aja sprti ayuting2 Hidupmu penuh dengan drama MURAHAN,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu ayuting hidup penuh drama murah 
99,100,negative,"japok gateeel emang,uda jelas dia ada main sama si mamad,sampe"" si jessica dimusuhin,deddy corbuzier aja jijik sama si japok semenjak nagita diundang di hitam putih berarti nagita cerita di belakang panggung,itu aja sih menurut gue",japok gateeel main sih mamad sih jessica dimusuhin deddy corbuzier jijik sih japok semenjak nagita undang hitam putih nagita cerita panggung sih 
100,101,negative, <USERNAME> lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..,malu buk bicara pelakor ibuk pelakor iya ayu pelakor wkwkwkwkwk awas rumah tangga masuk pelakor anak pelakor 
101,102,negative,Wah itu Kerdus mulutnya busuk...jangan jangan sampah makanannya,kerdus mulut busuk sampah makan 
102,103,negative, <USERNAME> TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?,tahi gedein bagus pupuk bicara bodoh cewek bawa suku 
103,104,negative,LAH ELO ARTIS APAAN? PAPAN BLENYEK AJA BELAGU AMAT ARTIS APAAN KGA POPULER SAMA SEKALU HAHAHA,lo artis papan blenyek belagu artis kga populer sekalu hahaha 
104,105,negative,ANANG MUKA NYA KAYA BABIII GITU AJA DI DEMENIN JIJIKK,anang muka nya kayak babiii demenin jijikk 
105,106,negative,"Kalau ga suka sama ayu ting ting ga usah separah itu dong ngejudge nya. Punya HATI dan OTAK kan? Dia juga manusia punya kekurangan dan juga punya kelebihan dan dia juga punya perasaan. Jadi jangan seenak nya menjudge orang seperti itu, kaya udah SEMPURNA AJA LO!  <USERNAME>",suka ayu ting ting parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kayak sempurna 
106,107,negative,"Ga pantes dipanggil ustad..org munafik ceramah sana sini org kelakuan sndr aja menzolimi istri sah nya dgn poligami diam2.kacian istri pertamanya,ga tw malu istri keduanya.. hadeh klo ada yg msh manggil dia bwt ceramah namanya bodo..",panggil ustad orang munafik ceramah orang laku menzolimi istri sah nya poligami diam kasihan istri pertama malu istri hadeh manggil ceramah nama bodo 
107,108,negative,Biadab!! Klo nanti anak lo di bully.. Gue mampusin ya!!!,biadab anak bully mampusin iya 
